OCC_TITLE	H_MEAN
Supervisors of Protective Service Workers	44.77
First-Line Supervisors of Law Enforcement Workers	49.79
First-Line Supervisors of Correctional Officers	39.55
First-Line Supervisors of Police and Detectives	53.36
First-Line Supervisors of Firefighting and Prevention Workers	46.65
First-Line Supervisors of Firefighting and Prevention Workers	46.65
Miscellaneous First-Line Supervisors, Protective Service Workers	31.40
First-Line Supervisors of Security Workers	30.28
First-Line Supervisors of Protective Service Workers, All Other	35.25
Firefighting and Prevention Workers	31.16
Firefighters	30.72
Firefighters	30.72
Fire Inspectors	40.01
Fire Inspectors and Investigators	42.04
Forest Fire Inspectors and Prevention Specialists	29.72
Law Enforcement Workers	36.32
Bailiffs, Correctional Officers, and Jailers	30.16
Bailiffs	29.89
Correctional Officers and Jailers	30.17
Detectives and Criminal Investigators	47.48
Detectives and Criminal Investigators	47.48
Fish and Game Wardens	32.69
Fish and Game Wardens	32.69
Parking Enforcement Workers	24.92
Parking Enforcement Workers	24.92
Police Officers	38.16
Police and Sheriff's Patrol Officers	38.14
Transit and Railroad Police	44.14
Other Protective Service Workers	20.74
Animal Control Workers	23.67
Animal Control Workers	23.67
Private Detectives and Investigators	29.65
Private Detectives and Investigators	29.65
Security Guards and Gambling Surveillance Officers	20.64
Gambling Surveillance Officers and Gambling Investigators	22.46
Security Guards	20.62
Miscellaneous Protective Service Workers	20.18
Crossing Guards and Flaggers	20.63
Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	16.68
Transportation Security Screeners	29.73
School Bus Monitors	16.96
Protective Service Workers, All Other	23.18
Food Preparation and Serving Related Occupations	17.32
Supervisors of Food Preparation and Serving Workers	22.85
Supervisors of Food Preparation and Serving Workers	22.85
Chefs and Head Cooks	31.11
First-Line Supervisors of Food Preparation and Serving Workers	21.59
Cooks and Food Preparation Workers	17.05
Cooks	17.28
Cooks, Fast Food	14.97
Cooks, Institution and Cafeteria	17.94
Cooks, Private Household	24.66
Cooks, Restaurant	18.14
Cooks, Short Order	17.14
Cooks, All Other	18.27
Food Preparation Workers	16.32
Food Preparation Workers	16.32
Food and Beverage Serving Workers	16.66
Bartenders	19.17
Bartenders	19.17
Fast Food and Counter Workers	15.07
Fast Food and Counter Workers	15.07
Waiters and Waitresses	18.44
Waiters and Waitresses	18.44
Food Servers, Nonrestaurant	16.84
Food Servers, Nonrestaurant	16.84
Other Food Preparation and Serving Related Workers	16.05
Dining Room and Cafeteria Attendants and Bartender Helpers	16.44
Dining Room and Cafeteria Attendants and Bartender Helpers	16.44
Dishwashers	15.97
Dishwashers	15.97
Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop	15.40
Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop	15.40
Miscellaneous Food Preparation and Serving Related Workers	17.30
Food Preparation and Serving Related Workers, All Other	17.30
Building and Grounds Cleaning and Maintenance Occupations	19.01
Supervisors of Building and Grounds Cleaning and Maintenance Workers	26.24
First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers	26.24
First-Line Supervisors of Housekeeping and Janitorial Workers	24.60
First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers	28.55
Building Cleaning and Pest Control Workers	17.98
Building Cleaning Workers	17.86
Janitors and Cleaners, Except Maids and Housekeeping Cleaners	18.01
Maids and Housekeeping Cleaners	17.39
Building Cleaning Workers, All Other	21.23
Pest Control Workers	22.02
Pest Control Workers	22.02
Grounds Maintenance Workers	20.07
Grounds Maintenance Workers	20.07
Landscaping and Groundskeeping Workers	19.66
Pesticide Handlers, Sprayers, and Applicators, Vegetation	22.10
Tree Trimmers and Pruners	26.43
Grounds Maintenance Workers, All Other	22.68
Personal Care and Service Occupations	18.95
Supervisors of Personal Care and Service Workers	25.21
First-Line Supervisors of Entertainment and Recreation Workers	25.87
First-Line Supervisors of Gambling Services Workers	30.10
First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services	24.71
First-Line Supervisors of Personal Service Workers	24.48
First-Line Supervisors of Personal Service Workers	24.48
Animal Care and Service Workers	17.06
Animal Trainers	22.01
Animal Trainers	22.01
Animal Caretakers	16.71
Animal Caretakers	16.71
Entertainment Attendants and Related Workers	16.05
Gambling Services Workers	18.97
Gambling Dealers	19.43
Gambling and Sports Book Writers and Runners	15.66
Gambling Service Workers, All Other	18.07
Motion Picture Projectionists	24.18
Motion Picture Projectionists	24.18
Ushers, Lobby Attendants, and Ticket Takers	15.27
Ushers, Lobby Attendants, and Ticket Takers	15.27
Miscellaneous Entertainment Attendants and Related Workers	15.47
Amusement and Recreation Attendants	15.07
Costume Attendants	31.68
Locker Room, Coatroom, and Dressing Room Attendants	17.54
Entertainment Attendants and Related Workers, All Other	17.40
Funeral Service Workers	22.06
Embalmers and Crematory Operators	24.82
Embalmers	27.65
Crematory Operators	21.53
Funeral Attendants	17.26
Funeral Attendants	17.26
Morticians, Undertakers, and Funeral Arrangers	27.09
Morticians, Undertakers, and Funeral Arrangers	27.09
Personal Appearance Workers	20.42
Barbers, Hairdressers, Hairstylists and Cosmetologists	21.01
Barbers	22.98
Hairdressers, Hairstylists, and Cosmetologists	20.89
Miscellaneous Personal Appearance Workers	19.62
Makeup Artists, Theatrical and Performance	36.25
Manicurists and Pedicurists	17.74
Shampooers	14.82
Skincare Specialists	23.40
Baggage Porters, Bellhops, and Concierges	18.84
Baggage Porters, Bellhops, and Concierges	18.84
Baggage Porters and Bellhops	17.77
Concierges	19.60
Tour and Travel Guides	20.72
Tour and Travel Guides	20.72
Tour and Travel Guides	20.72
Other Personal Care and Service Workers	18.86
Childcare Workers	15.93
Childcare Workers	15.93
Recreation and Fitness Workers	21.25
Exercise Trainers and Group Fitness Instructors	24.69
Recreation Workers	17.87
Residential Advisors	19.99
Residential Advisors	19.99
Miscellaneous Personal Care and Service Workers	18.27
Personal Care and Service Workers, All Other	18.27
Sales and Related Occupations	26.00
Supervisors of Sales Workers	28.77
First-Line Supervisors of Sales Workers	28.77
First-Line Supervisors of Retail Sales Workers	25.17
First-Line Supervisors of Non-Retail Sales Workers	47.06
Retail Sales Workers	17.05
Cashiers	15.31
Cashiers	15.29
Gambling Change Persons and Booth Cashiers	17.70
Counter and Rental Clerks and Parts Salespersons	20.76
Counter and Rental Clerks	21.01
Parts Salespersons	20.38
Retail Salespersons	17.86
Retail Salespersons	17.86
Sales Representatives, Services	41.53
